,,,,,Aneurysm of the sinuses of Valsalva and proximal ascending aorta,,,,
,,,Normal,,Normal sinuses of Valsalva by linear dimension,,,,
,,,,,Normal sinuses of Valsalva linear dimension,,,,
,,,,,Sinuses and proximal ascending aorta normal in size,,,,
,,,,,Normal,,,,
,,,,,Normal size sinuses and ascending aorta,,,,
,,Aorta Sinuses index,#,,{FROM MEASUREMENTS},,,,
,,Indexed State,Dilated,,Dilated sinuses of Valsalva by index dimension,,,,
,,,,,Dilatation of the sinuses of Valsalva,,,,
,,,,,Dilatation of the sinuses of Valsalva and proximal ascending aorta,,,,
,,,,,Dilated aortic sinuses,,,,
,,,,,Mildly dilated sinuses of Valsalva by index dimension,,,,
,,,,,Mildly dilated aortic sinuses,,,,
,,,,,Mild dilatation of the sinuses of Valsalva,,,,
,,,,,Aneurysm of the sinuses of Valsalva,,,,
,,,,,Aneurysm of the sinuses of Valsalva and proximal ascending aorta,,,,
,,,Normal,,Normal sinuses of Valsalva by index dimension,,,,
,,,,,Sinuses and proximal ascending aorta normal in size,,,,
,,,,,Normal,,,,
,,,,,Normal size sinuses and ascending aorta,,,,
,,,,,Normal aortic sinuses and proximal ascending aorta by index dimension,,,,
,Proximal Ascending Aorta,Prox Ascending Aorta (Prox Asc Aorta),#,,{FROM MEASUREMENTS},,,,
,,State,Dilated,,Dilated proximal ascending aorta by linear dimension,,,,
,,,,,Dilated proximal ascending aorta linear dimension,,,,
,,,,,Dilatation of the proximal ascending aorta,,,,
,,,,,Dilatation of the sinuses of Valsalva and proximal ascending aorta,,,,
,,,,,Dilatation of the mid ascending aorta,,,,
,,,,,Mild dilatation of the proximal ascending aorta,,,,
,,,,,Anuerysm of the proximal ascending aorta,,,,
,,,,,Aneurysm of the sinuses of Valsalva and proximal ascending aorta,,,,
,,,Normal,,Normal proximal ascending aorta by linear dimension,,,,
,,,,,Normal proximal ascending aorta linear dimension,,,,
,,,,,Sinuses and proximal ascending aorta normal in size,,,,
,,,,,Normal,,,,
,,,,,Normal size sinuses and ascending aorta,,,,
,,Prox Asc Aorta Index,#,,{FROM MEASUREMENTS},,,,
,,Indexed State,Dilated,,Dilated proximal ascending aorta by index dimension,,,,
,,,,,Dilatation of the proximal ascending aorta,,,,
,,,,,Dilatation of the sinuses of Valsalva and proximal ascending aorta,,,,
,,,,,Dilatation of the mid ascending aorta,,,,
,,,,,Borderline dilated proximal ascending aorta by index dimension,,,,
,,,,,Mildly dilated proximal ascending aorta by index dimension,,,,
,,,,,Mild dilatation of the proximal ascending aorta,,,,
,,,,,Mildly dilated ascending aorta,,,,
,,,,,Anuerysm of the proximal ascending aorta,,,,
,,,,,Aneurysm of the sinuses of Valsalva and proximal ascending aorta,,,,
,,,Normal,,Normal proximal ascending aorta by index dimension,,,,
,,,,,Sinuses and proximal ascending aorta normal in size,,,,
,,,,,Normal,,,,
,,,,,Normal size sinuses and ascending aorta,,,,
,,,,,Normal aortic sinuses and proximal ascending aorta by index dimension,,,,
,,Calcification,Mild,,Mild atheroma in the ascending aorta,,,,
,,,Moderate,,Moderate atheroma in the ascending aorta,,,,
,Aortic Arch,Coarctation,Boolean (False),,No coarctation,,,,
,,,,,No coarctation of the aorta,,,,
,Flow Reversal,Location,None,,,,,,
,,,Distal aortic arch,,There is reversal of flow in the distal aortic arch during diastole,,,,
,Graft,Location,Ascending aorta,,There is a prosthetic graft seen in the ascending aorta,,,,
,,,,,There is a graft repair (unknown type) seen in the ascending aorta,,,,
,Dissection,Location,Descending aorta,,There is a dissection in the descending aorta,,,,
,,,Ascending aorta,,,,,,
,Quality of Scan,Sinuses of Valsalva Quality,NWS,,Sinuses of Valsalva not well seen,,,,
,,,,,Sinuses of Valsalva and ascending aorta not well seen,,,,
,,,,,Ascending aorta and sinuses of Valsalva not well seen,,,,
,,Proximal Ascending Aorta Quality,NWS,,Ascending aorta not well seen,,,,
,,,,,Sinuses of Valsalva and ascending aorta not well seen,,,,
,,,,,Ascending aorta and sinuses of Valsalva not well seen,,,,
,,,,,Ascending aorta and aortic arch not well seen,,,,
,,,,,"Ascending aorta, aortic arch and descending aorta not well seen",,,,
,,Aortic Arch Quality,NWS,,Aortic arch and descending aorta not well seen,,,,
,,,,,Ascending aorta and aortic arch not well seen,,,,
,,,,,"Ascending aorta, aortic arch and descending aorta not well seen",,,,
,,Descending Aorta Quality,NWS,,Aortic arch and descending aorta not well seen,,,,
,,,,,"Ascending aorta, aortic arch and descending aorta not well seen",,,,
Inferior Vena Cava,Right Atrial Pressure,Dilated,Boolean (True),,Inferior vena cava is dilated (>,,,,
,,,,,The inferior vena cava is dilated (>,,,,
,,,,,The inferior vena cava dilated (>,,,,
,,,Boolean (False),,Inferior vena cava is normal size,,,,
,,,,,Inferior vena cava is normal size with greater than,,,,
,,,,,The inferior vena cava is normal size with greater than,,,,
,,,,,The inferior vena cava normal size with greater than,,,,
,,,,,Inferior vena cava is normal size with less than,,,,
,,,,,The inferior vena cava is normal size with less than,,,,
,,,,,The inferior vena cava normal size with less than,,,,
,,,,,The inferior vena cava normal size with normal respiratory variation,,,,
,,,,,IVC normal in size with greater than,,,,
,,,,,IVC normal in size with >,,,,
,,Collapse,Boolean (True),,Inferior vena cava is normal size with greater than,,,,
,,,,,The inferior vena cava is normal size with greater than,,,,
,,,,,The inferior vena cava normal size with greater than,,,,
,,,,,The inferior vena cava normal size with normal respiratory variation,,,,
,,,,,IVC normal in size with greater than,,,,
,,,,,IVC normal in size with >,,,,
,,,Boolean (False),,Inferior vena cava is normal size with less than,,,,
,,,,,The inferior vena cava is normal size with less than,,,,
,,,,,The inferior vena cava normal size with less than,,,,
,,,Unknown,,"IVC visualized, unable to assess collapse for RA pressure estimate",,,,
,,,,,Unable to assess collapse,,,,
,,,,,Sniff test could not be performed,,,,
,,,,,"Patient ventilated, no sniff test available",,,,
,Flow Pattern,Flow Pattern,Normal,,The inferior vena cava has a normal flow pattern,,,,
,,,Systolic Reversal,,"The inferior vena cava has a systolic flow reversal, suggestive of significant tricuspid regurgitation",,,,
,Quality of Scan,Quality,NWS,,"IVC not visualized, cannot obtain right atrial pressure",,,,
,,,,,IVC not well seen,,,,
,,,,,Inferior vena cava not well seen,,,,
,,,,,IVC not well visualized,,,,
,,,,,Inferior vena cava not visualized,,,,
,,,,,IVC not seen,,,,
,,,,,IVC not well visualised,,,,
,,,,,Inferior vena cava not well visualized,,,,
,,,,,Inferior vena cava not seen,,,,
,,,,,IVC is not well seen,,,,
,,,,,IVC not visualized,,,,
,,,,,IVC difficult to visualize,,,,
,,,,,IVC poorly visualized,,,,
,,,,,IVC not well seen on this study,,,,
,,,,,"IVC not well seen, RAP estimated at",,,,
,,,,,IVC not well seen; RAP estimated at,,,,
,,,,,"IVC not well seen, RA pressure assumed to",,,,
Pericardium,Pericardial Effusion,Size,None,,No pericardial effusion,,,,
,,,,,There is no evidence of pericardial effusion,,,,
,,,Trivial,,Trivial pericardial effusion,,,,
,,,,,Trivial circumferential pericardial effusion,,,,
,,,,,"Trivial pericardial effusion, posterior to the left ventricle",,,,
,,,,,"Trivial pericardial effusion, anterior to the right ventricle",,,,
,,,,,"Trivial pericardial effusion, posterior to the left ventricle and anterior to the right ventricle",,,,
,,,,,"Trivial pericardial effusion, RA-posterior",,,,
,,,Small,,Small pericardial effusion,,,,
,,,,,Small circumferential pericardial effusion,,,,
,,,,,"Small pericardial effusion, posterior to the left ventricle",,,,
,,,,,"Small pericardial effusion, posterior and lateral to the left ventricle",,,,
,,,,,"Small pericardial effusion, anterior to the right ventricle",,,,
,,,,,"Small pericardial effusion, posterior to the left ventricle and anterior to the right ventricle",,,,
,,,,,Small pericardial effusion (maximally,,,,
,,,Moderate,,Moderate pericardial effusion,,,,
,,,,,Moderate circumferential pericardial effusion,,,,
,,,Large,,Large pericardial effusion,,,,
,,,,,Large circumferential pericardial effusion,,,,
,,Location,Circumferential,,Trivial circumferential pericardial effusion,,,,
,,,,,Small circumferential pericardial effusion,,,,
,,,,,Moderate circumferential pericardial effusion,,,,
,,,,,Large circumferential pericardial effusion,,,,
,,,Right ventricle,,"Trivial pericardial effusion, anterior to the right ventricle",,,,
,,,,,"Trivial pericardial effusion, posterior to the left ventricle and anterior to the right ventricle",,,,
,,,,,"Small pericardial effusion, anterior to the right ventricle",,,,
,,,,,"Small pericardial effusion, posterior to the left ventricle and anterior to the right ventricle",,,,
,,,Left ventricle,,"Trivial pericardial effusion, posterior to the left ventricle",,,,
,,,,,"Trivial pericardial effusion, posterior to the left ventricle and anterior to the right ventricle",,,,
,,,,,"Small pericardial effusion, posterior to the left ventricle",,,,
,,,,,"Small pericardial effusion, posterior and lateral to the left ventricle",,,,
,,,,,"Small pericardial effusion, posterior to the left ventricle and anterior to the right ventricle",,,,
,,,Right atrium,,"Trivial pericardial effusion, RA-posterior",,,,
,,Contents,Fibrous,,The pericardial effusion appears to contain fibrofibrinous material,,,,
,,Size,#,,The pericardial effusion measures up to,,,,? Do we want to add this
,,,,,Small pericardial effusion (maximally,,,,
,,,,,Measured,,,,
,Cardiac Tamponade,Cardiac Tamponade,Boolean (True),,Findings suggestive of raised intrapericardial pressure,,,,
,,,Boolean (False),,No tamponade,,,,
,,,,,No hemodynamic significance,,,,
,,,,,No echo findings of cardiac tamponade,,,,
,,RA inversion,Boolean,,Inversion of the right atrial wall,,,,
,,MV respiratory variation,Boolean,,Respiratory variation of the mitral valve Doppler velocities is present,,,,
,Constriction,Constriction,Boolean (True),,,,,,
,,,Boolean (False),,No pericardial constriction,,,,
,,Septal bounce,Boolean,,Septal bounce,,,,
,Fat pad,Fat pad,Boolean,,There is a pericardial fat pad present,,,,
Other Fluid,Ascites,Present,Boolean,,Ascites present,,,,
,Pleural Effusion,Right,Boolean,,A pleural effusion present on the left and right side,,,,
,,,,,A pleural effusion present,,,,
,,,,,Left and right pleural effusion,,,,
,,,,,Pleural effusion,,,,
,,,,,Right pleural effusion,,,,
,,,,,A pleural effusion present on the right side,,,,
,,,,,Pleural effusions,,,,
,,,,,Pleural effusion present on the left and right side,,,,
,,Left,Boolean,,A pleural effusion present on the left and right side,,,,
,,,,,A pleural effusion present,,,,
,,,,,Left and right pleural effusion,,,,
,,,,,Pleural effusion,,,,
,,,,,Left pleural effusion,,,,
,,,,,A pleural effusion present on the left side,,,,
,,,,,Pleural effusions,,,,
,,,,,Pleural effusion present on the left and right side,,,,
Masses,Thrombus,Presence,Boolean (True),,This can be thrombus or tumor mass,,,,
,,,Boolean (False),,No thrombus detected,,,,
,,,,,No mass or thrombus,,,,
,,,,,No intracardiac thrombus or mass,,,,
,,,,,No intracardiac thrombi or masses,,,,
,,,,,No obvious thrombus/vegetations seen,,,,
,,,,,No LV thrombus is seen,,,,
,,,,,No right atrial thrombus,,,,
,,Location,Left Ventricle,,,,,,
,,,Right Ventricle,,,,,,
,,,Left Atrium,,,,,,
,,,Right Atrium,,,,,,
,,,Mitral Valve,,,,,,
,,,Tricuspid Valve,,,,,,
,,,Aortic Valve,,,,,,
,,,Pulmonary Valve,,,,,,
,,Size,#,,Thrombus measures,,,,
,Mass,Presence,Boolean (True),,This confirmed a mass in the RA,,,,
,,,,,This can be thrombus or tumor mass,,,,
,,,Boolean (False),,No mass detected,,,,
,,,,,No mass or thrombus,,,,
,,,,,No intracardiac thrombus or mass,,,,
,,,,,No intracardiac thrombi or masses,,,,
,,,,,No obvious thrombus/vegetations seen,,,,
,,,,,No valve vegetation seen,,,,
,,,,,No vegetation,,,,
,,,,,There is no right atrial mass,,,,
,,,,,No TV vegetation was visualized,,,,
,,Location,Left Ventricle,,,,,,
,,,Right Ventricle,,,,,,
,,,Left Atrium,,,,,,
,,,Right Atrium,,This confirmed a mass in the RA,,,,
,,,Mitral Valve,,,,,,
,,,Tricuspid Valve,,,,,,
,,,Aortic Valve,,,,,,
,,,Pulmonary Valve,,,,,,
,,Type,Mass,,,,,,
,,,Myxoma,,The mass is suggestive of myxoma,,,,
,,,Vegetation,,,,,,
,,Size,#,,Mass measures,,,,
Shunt,PFO,Presence,Boolean (True),,A small patent foramen ovale is detected with predominantly left to right shunting across the atrial septum,,,,
,,,,,Small patent foramen ovale is detected,,,,
,,,,,Small patent foramen ovale is detected with predominantly left to right shunting across the atrial septum,,,,
,,,,,A small patent foramen ovale is detected,,,,
,,,,,A patent foramen ovale is detected with predominantly left to right shunting across the atrial septum,,,,
,,,,,Patent foramen ovale is detected with predominantly left to right shunting across the atrial septum,,,,
,,,,,Left to right shunting across the atrial septum suggestive of PFO/ASD,,,,
,,,,,"Saline bubbles negative at rest, and positive in the left heart post Valsalva maneuver consistent with interatrial shunt",,,,
,,,Boolean (False),,No shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,There is no evidence of a patent foramen ovale by colour Doppler,,,,
,,,,,No atrial shunt detected,,,,
,,,,,Interatrial septal aneurysm present with no shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,The interatrial septum is normal,,,,
,,,,,No shunt detected,,,,
,,,,,There is no evidence of an atrial septal defect,,,,
,,,,,No definite shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,Interatrial septum bulges rightward with no shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,Interatrial septal aneurysm present with no shunt detected,,,,
,,,,,Negative saline contrast study at rest,,,,
,,,,,Interatrial septum bulges leftward with no shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,Negative saline study at rest and post Valsalva,,,,
,,,,,No shunt across interatrial septum by colour Doppler imaging,,,,
,,Direction,Left to Right,,A small patent foramen ovale is detected with predominantly left to right shunting across the atrial septum,,,,
,,,,,Small patent foramen ovale is detected with predominantly left to right shunting across the atrial septum,,,,
,,,,,A patent foramen ovale is detected with predominantly left to right shunting across the atrial septum,,,,
,,,,,Patent foramen ovale is detected with predominantly left to right shunting across the atrial septum,,,,
,,,,,Left to right shunting across the atrial septum suggestive of PFO/ASD,,,,
,,,,,"Saline bubbles negative at rest, and positive in the left heart post Valsalva maneuver consistent with interatrial shunt",,,,
,,Closure Device,Boolean,,Device PFO closure with no residual shunt,,,,
,,,,,"ASD/PFO closure device, no residual shunt",,,,
,,,,,An ASD/PFO closure device is seen with no residual shunt,,,,
,ASD,Presence,Boolean (True),,Interatrial left to right shunt,,,,
,,,,,Early saline bubbles seen in the left heart consistent with right to left shunt,,,,
,,,,,There is a small secundum atrial septal defect with left to right shunting,,,,
,,,,,There is a secundum atrial septal defect with left to right shunting,,,,
,,,,,Left to right shunting across the atrial septum suggestive of PFO/ASD,,,,
,,,,,"Saline bubbles negative at rest, and positive in the left heart post Valsalva maneuver consistent with interatrial shunt",,,,
,,,Boolean (False),,No shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,No atrial shunt detected,,,,
,,,,,Interatrial septal aneurysm present with no shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,The interatrial septum is normal,,,,
,,,,,No shunt detected,,,,
,,,,,There is no evidence of an atrial septal defect,,,,
,,,,,No definite shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,Interatrial septum bulges rightward with no shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,Interatrial septal aneurysm present with no shunt detected,,,,
,,,,,Negative saline contrast study at rest,,,,
,,,,,Interatrial septum bulges leftward with no shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,Negative saline study at rest and post Valsalva,,,,
,,,,,No shunt across interatrial septum by colour Doppler imaging,,,,
,,Direction,Left to Right,,Interatrial left to right shunt,,,,
,,,,,There is a small secundum atrial septal defect with left to right shunting,,,,
,,,,,There is a secundum atrial septal defect with left to right shunting,,,,
,,,,,Left to right shunting across the atrial septum suggestive of PFO/ASD,,,,
,,,,,"Saline bubbles negative at rest, and positive in the left heart post Valsalva maneuver consistent with interatrial shunt",,,,
,,,Right to Left,,Early saline bubbles seen in the left heart consistent with right to left shunt,,,,
,,Location,Secundum,,There is a small secundum atrial septal defect with left to right shunting,,,,
,,,,,There is a secundum atrial septal defect with left to right shunting,,,,
,,Closure Device,Boolean,,ASD closure device in situ,,,,
,,,,,Device ASD closure with no residual shunt,,,,
,,,,,"ASD/PFO closure device, no residual shunt",,,,
,,,,,An ASD/PFO closure device is seen with no residual shunt,,,,
,VSD,Presence,Boolean (True),,There is a small perimembranous ventricular septal defect with left to right shunt,,,,
,,,Boolean (False),,No shunt detected,,,,
,,,,,No ventricular septal defect is detected,,,,
,,,,,Negative saline contrast study at rest,,,,
,,,,,Negative saline study at rest and post Valsalva,,,,
,,Peak gradient,#,,VSD peak gradient:,,,,
,,Location,Perimembranous,,There is a small perimembranous ventricular septal defect with left to right shunt,,,,
,,Direction,Left to Right,,There is a small perimembranous ventricular septal defect with left to right shunt,,,,
,PDA,Presence,Boolean,,The patent ductus arteriosus is shunting predominantly from left to right,,,,
,,Direction,Left to Right,,The patent ductus arteriosus is shunting predominantly from left to right,,,,
Interatrial Septum,Mobility,Mobile,Boolean,,Mobile interatrial septum,,,,
,,Bulging,Left,,Atrial septum bulges leftward,,,,
,,,,,Interatrial septum bulges leftward,,,,
,,,,,Interatrial septum bulges leftward with no shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,"Interatrial septum bowed towards the left, consistent with elevated right atrial pressures",,,,
,,,,,Interatrial septum bowed towards the left,,,,
,,,Right,,Atrial septum bulges rightward,,,,
,,,,,Interatrial septum bulges rightward,,,,
,,,,,Interatrial septum bulges rightward with no shunt by color flow Doppler to suggest PFO/ASD,,,,
,,Aneurysm,Boolean (True),,Atrial septal aneurysm present,,,,
,,,,,Interatrial septal aneurysm present with no shunt by color flow Doppler to suggest PFO/ASD,,,,
,,,,,Atrial septal aneurysm,,,,
,,,,,Aneurysmal atrial septum,,,,
,,,,,Interatrial septal aneurysm present,,,,
,,,,,Interatrial septal aneurysm present with no shunt detected,,,,
,,,Boolean (False),,No atrial septal aneurysm,,,,
,,,,,The interatrial septum is normal,,,,
,Lipomatous,Lipomatous,Boolean (True),,The interatrial septum is lipomatous,,,,
,,,Boolean (False),,The interatrial septum is normal,,,,
,Quality of Scan,Quality,NWS,,The interatrial septum is not well visualized,,,,
,,,,,Suboptimal subcostal images,,,,
Additional,Wires,Pacemaker/ICD,Boolean,,Pacemaker/ICD leads visualized,,,,
,,,,,Pacemaker/ICD leads visualized in the right atrium and right ventricle,,,,
,,,,,Pacemaker/ICD visualized,,,,
,,,,,Pacemaker/ICD visualized in the right atrium and right ventricle,,,,
,,,,,Pacemaker/ICD leads visualized in the right ventricle and right atrium,,,,
,,,,,Pacemaker/ICD leads visualized in the right ventricle,,,,
,,,,,Pacemaker/ICD is detected,,,,
,,,,,Pacemaker/ICD visualized in the right ventricle and right atrium,,,,
,,,,,Pacemaker/ICD leads visualized in the right atrium,,,,
,,,,,Pacemaker/ICD visualized in the right ventricle,,,,
,,,,,Pacemaker/ICD visualized in the right atrium,,,,
,,,,,Pacemaker/ICD is detected in the right atrium and right ventricle,,,,
,,,,,Pacemaker/ICD leads visualized in right heart,,,,
,,,,,Pacemaker/ICD leads visualized in the superior vena cava and inferior vena cava,,,,
,,,,,"Pacemaker/ICD leads visualized in the right atrium, superior vena cava and right ventricle",,,,
,,,,,"Pacemaker/ICD visualized in the right atrium, right ventricle and inferior vena cava",,,,
,,,,,Pacemaker/ICD lead visualized,,,,
,,,,,"Pacemaker/ICD leads visualized in the right ventricle, right atrium and left atrium, left ventricle",,,,
,,,,,Biventricular pacemaker/ICD leads visualized,,,,
,,,,,Catheter or implantable device seen in RA/RV visualized,,,,
,,,,,Catheter in RA,,,,
,,,,,Catheter seen in the RA,,,,
,,,,,Catheter visualized in RA,,,,
,,,,,Catheter visualized in the right ventricle and right atrium,,,,
,,,,,Catheter visualized in the right atrium and right ventricle,,,,
,,,,,Catheter visualized in the right atrium,,,,
,,,,,Catheter visualized,,,,
,,,,,Infusion catheter visualized,,,,
,,,,,Infusion catheter visualized in the right atrium,,,,
,,,,,Infusion catheter is detected,,,,
,,,,,Infusion catheter visualized in the right atrium and right ventricle,,,,
,,,,,Infusion catheter in RA,,,,
,,,,,PICC line seen in RA,,,,
,,,,,Picc line visualized in the right atrium,,,,
,,,,,Dialysis line visualized,,,,
,,,,,Dialysis line seen RA visualized,,,,
,,,,,ECMO visualized in the inferior vena cava,,,,
,,,,,Debrillator visualized in the right atrium and right ventricle,,,,
,,,,,A device lead crosses the tricuspid valve,,,,
,Ventilated,Ventilated,Boolean,,Patient intubated,,,,
,,,,,Patient ventilated,,,,
,,,,,"Patient ventilated, no sniff test available",,,,
,,,,,Patient is intubated,,,,
,,,,,Intubated,,,,
